step,crossentropy,val crossentropy,accuracy,val accuracy,top_k,val top_k
1,191.4060322692483,74.74051775557271,0.13499012176100522,0.0370291095890411,0.2318912261911101,0.06662793542074363
2,83.53821879123755,94.44838144538107,0.1484441335026882,0.039250550394305514,0.2560828609388402,0.06779598825248487
3,91.4518113518881,103.6738675435384,0.15251002985612286,0.040958292563600784,0.2674041060464723,0.0721318493150685
4,88.38904745844712,115.47134425131122,0.15881704009792344,0.04058372064579256,0.2805591046576864,0.07215325341882538
5,76.84359582762896,113.12098806002614,0.16152622673201233,0.04119679550485368,0.2881624281348081,0.07330754647166295
6,41.21539808112814,73.55352020620853,0.1768090010505833,0.04268132338260251,0.30843738882042426,0.07696917807635963
7,13.14868975432185,66.4575141163801,0.19318946251197336,0.04286784490610522,0.33313531794543366,0.07797058463213262
8,7.703716986799893,63.63021869695142,0.20285233134976105,0.043127751951115005,0.34600836099827126,0.07852250489236791
9,6.251518043286646,62.32369139131982,0.20867686466461524,0.04341059197797467,0.3525982112450609,0.07877935419577209
10,5.917110310142054,61.27606910534119,0.21035318296774494,0.04344728473872821,0.3552431476442781,0.07907289628180039
