step,crossentropy,val crossentropy,accuracy,val accuracy,top_k,val top_k,f_score,val f_score,preplexite,val preplexite
1,21.77926441450102,5.221357868142324,0.11871392095914743,0.1603167808219178,0.21530167628774421,0.3102258133561644,0.0005147439800466487,0.0005824098942405863,1293.997408756867,180.6187872952499
2,5.093954557212165,5.054773970826031,0.17596164520426288,0.17885809075342465,0.3250860346358792,0.3270547945205479,0.0005925641418207226,0.0006416570899564747,161.05320562251794,155.13931091523796
3,5.02811131977061,5.03196554641201,0.17986789520426288,0.1811590325342466,0.33101826154529307,0.3306399828767123,0.0006682159311715415,0.0007306788667274179,151.62029523849435,151.72260430322046
4,5.007087430564379,5.026815701837409,0.1818244893428064,0.1838345462328767,0.33434863454706926,0.333716823630137,0.0007442386359696775,0.0007525709450120515,148.50587017890032,150.36118615772867
5,4.992721378909123,5.013275250996629,0.18441246669626998,0.1854398544520548,0.3374361678507993,0.3351883561643836,0.0008019690520645386,0.0008129137671833271,146.38485057976538,147.82097740329667
6,4.968372924289738,4.998404724957192,0.1864523201598579,0.1873394691780822,0.33921236678507993,0.3374090325342466,0.0008701608961052716,0.000894895529299528,143.0697801763814,146.16606865310305
7,4.959894246360548,4.99732379064168,0.1878330373001776,0.18859696061643835,0.3415366896092362,0.338693279109589,0.0009012929560677818,0.0009357071015585137,141.92839063961335,146.06781115610954
8,4.954662626208886,4.996378983536812,0.1882215808170515,0.18808861301369864,0.34240397424511543,0.3391481164383562,0.0009327715403999187,0.0009244613451899144,141.21523588926635,145.76312146982812
9,4.949917103003439,4.992081975283688,0.18892234680284192,0.1893996147260274,0.3429104684724689,0.339576198630137,0.0009474483772295116,0.0009466346350501687,140.57108264521395,145.06285143172354
10,4.944285715452096,4.99091803864257,0.1901157304618117,0.19038955479452055,0.3433614564831261,0.3405661386986301,0.0009572756057770568,0.0009568297289860473,139.76799865856214,144.5876444295544
