step,crossentropy,val crossentropy,accuracy,val accuracy,top_k,val top_k,f_score,val f_score,preplexite,val preplexite
1,143.90447676202967,51.27865958540407,0.12230794849023091,0.1389661815068493,0.19809474911190053,0.21414811643835616,0.0011021062783773063,0.001313430569310073,95698.85413896585,26938.66827628549
2,28.80167446509136,21.368497574166074,0.15674955595026643,0.16510595034246575,0.2558003996447602,0.272287029109589,0.0013654011371069907,0.0011922425816907254,6049.259561794074,2183.934061005161
3,12.92147490736858,13.70255700856039,0.17543433614564832,0.17254387842465754,0.2991993228241563,0.2940657106164384,0.0013940804277143076,0.001100004739957313,996.17980913325,781.8109949634616
4,8.34161693715287,10.805626163743947,0.18599439387211367,0.17917915239726026,0.325453763321492,0.3081121575342466,0.0015258500262553974,0.0010427899053878445,424.47654760453423,467.4201391456112
5,6.593574584059774,9.473008279931056,0.19625610568383658,0.1818011558219178,0.34425649422735344,0.3176904965753425,0.001849421115652501,0.0010630385306335296,260.1308317684289,361.56624488905453
6,5.3955342790796745,9.079240808748219,0.21615508436944939,0.1873394691780822,0.36978241563055064,0.3209546232876712,0.0026913750985989656,0.001170369984035074,160.3046390353781,332.2819341981284
7,5.092815230625349,8.903458872886553,0.22407859680284192,0.18800834760273974,0.37695659413854354,0.3230415239726027,0.003044373725626128,0.0011775882149989117,136.75487928785097,319.50312386401777
8,4.936343671585273,8.756474374091788,0.22900477353463589,0.18811536815068494,0.38245170959147423,0.3245933219178082,0.003255353202103748,0.0011928137561245757,124.05497911014017,312.18849374289556
9,4.8321740343558,8.746803446991803,0.23288327042628773,0.1894263698630137,0.38647591030195383,0.325636772260274,0.003409197999389435,0.001253560521123191,115.75841686811172,305.4442772606745
10,4.753164799556427,8.695250511169434,0.2368658414742451,0.19049657534246575,0.39052786412078155,0.325636772260274,0.0035507590214260334,0.00125821779899886,109.22018186506575,301.7823704934995
