step,crossentropy,val crossentropy,accuracy,val accuracy,top_k,val top_k
1,83.59153214079527,6.45858330868963,0.11933736657676398,0.04250397505475584,0.19995235959377775,0.07504433708414873
2,5.502799552014196,5.326353108704979,0.17289393629929792,0.045243701064656625,0.3154868433970061,0.08379097355788467
3,5.085026320179381,5.225219534404242,0.1792913765998269,0.04580938111837596,0.32987109888089844,0.08468077298246485
4,5.011290683671686,5.211848661081115,0.18250684367233994,0.04622676125827834,0.33379684344896365,0.08506451809592909
5,4.987542104814384,5.210326276608368,0.18484837096731258,0.04700954010575251,0.33699453512749794,0.08495443983553908
6,4.9554062272237935,5.190139229617902,0.18817386719345347,0.04726486056751468,0.3396456115633074,0.08578155576132981
7,4.940272521599399,5.192394541270697,0.18991634345917785,0.04746819959694625,0.34144988714365576,0.08608732875545898
8,4.932331228909427,5.199789616599012,0.19116258329607969,0.04737188111545988,0.3424460132644601,0.08590692270058709
9,4.926263861460228,5.2001660297166055,0.1921215623383886,0.04743609345589132,0.34328839328657623,0.08603228963984436
10,4.920083903519841,5.206925925923817,0.19289191991615667,0.047647076810176124,0.3441738455962762,0.08632430282590907
