step,crossentropy,val crossentropy,accuracy,val accuracy,top_k,val top_k,f_score,val f_score,preplexite,val preplexite
1,21.119107693592568,5.222829665223213,0.12683864342806395,0.1616812928082192,0.21612733126110123,0.3238174229452055,0.000523693492296402,0.0006130020921947817,1311.2024441429073,181.07370145072426
2,5.08386925651591,5.045622084238758,0.17725910301953818,0.18241652397260275,0.3308864342806394,0.3305864726027397,0.0006768453743107796,0.000739737507115335,159.43796463194676,153.50444342931968
3,5.013404437957818,5.016832041413816,0.18331621891651864,0.18447666952054795,0.3349522646536412,0.3351080907534247,0.0007495238341483722,0.0008027481233337511,149.5202637616292,149.33708628533645
4,4.990159264254528,4.999431306368684,0.1857307393428064,0.18667059075342465,0.33935807060390766,0.3377300941780822,0.0007916287580863978,0.0008158400684295299,145.91359357771586,146.7617604379479
5,4.972817226159212,4.988671750238497,0.18682004884547068,0.18824914383561644,0.34220970248667854,0.3395226883561644,0.0008341707455674203,0.0008783259806590002,143.50297719609776,145.31175945407713
6,4.950763968337281,4.976454323285247,0.18835340808170514,0.18889126712328766,0.34347246891651867,0.3411279965753425,0.0008981471399894087,0.0009136268871434493,140.68930739268035,143.6585362076666
7,4.943028732049105,4.97528044491598,0.18936639653641207,0.1898009417808219,0.3446380994671403,0.3412885273972603,0.000911331143239298,0.0009084033627503182,139.59353291200873,143.39365134214134
8,4.93884497044565,4.975666882240609,0.19005328596802842,0.19057684075342465,0.3452070381882771,0.3411279965753425,0.0009381339448892063,0.0009165030963119272,139.01117649509587,143.3113813857237
9,4.934650275465862,4.970234459393645,0.19082343472468916,0.19199486301369864,0.34575516207815277,0.3423854880136986,0.0009398671066831818,0.0009456235147559735,138.43947174868873,142.33683318982062
10,4.931818037219411,4.970814587318734,0.1913021758436945,0.19226241438356165,0.3461714587033748,0.3430811215753425,0.0009703256557265472,0.0009258412594559335,138.04370897792458,142.3479943038062
